bathrooms,ROOMS,bedrooms,Yr_changed,price,STYLE,KITCHENS,FIREPLACES,sqft_living,latitude,longitude,ocean_proximity
3,6,2,2016.0,1000000.0,3 Story,1.0,1,952,38.91796302,-77.03956677,1
2,6,3,2014.0,650000.0,3 Story,2.0,1,952,38.91794916,-77.03951971,1
3,8,5,2008.0,735000.0,3 Story,2.0,0,1190,38.91720286,-77.03941022,1
4,10,5,2007.0,1200000.0,3 Story,2.0,2,1190,38.91720139,-77.03946995,1
4,10,4,2008.0,771200.0,3 Story,2.0,0,1190,38.91720198,-77.03959102,1
4,10,5,2008.0,1175000.0,3 Story,2.0,0,1190,38.91720202,-77.04001052,1
6,10,6,2003.0,1231000.0,3 Story,2.0,1,1190,38.91720098,-77.04042402,1
3,12,5,2004.0,1625000.0,3 Story,3.0,0,1156,38.91720317,-77.04060782,1
1,6,3,2011.0,772000.0,2 Story,1.0,0,960,38.91744876,-77.04028406,1
1,6,3,2004.0,755000.0,2 Story,1.0,0,960,38.91744877,-77.0402279,1
2,6,2,2001.0,625000.0,2 Story,1.0,1,960,38.91744853,-77.03989166,1
1,6,3,2015.0,162000.0,2 Story,1.0,1,960,38.91744733,-77.0397218,1
2,6,3,2012.0,534000.0,2 Story,1.0,0,960,38.91744735,-77.03966553,1
3,6,4,2006.0,1014000.0,3 Story,1.0,0,990,38.91901125,-77.03013673,1
2,9,3,2000.0,932000.0,3 Story,1.0,6,990,38.91901162,-77.03008323,1
3,10,4,2005.0,1039000.0,3.5 Story Fin,2.0,4,874,38.9190032,-77.02987624,1
3,7,4,1978.0,451550.0,3 Story,2.0,1,874,38.91891447,-77.02987551,1
4,11,6,1990.0,1260000.0,3 Story,2.0,2,1569,38.91899333,-77.03112507,1
5,12,8,2010.0,650000.0,3 Story,3.0,0,1569,38.91899637,-77.03086573,1
4,12,8,1996.0,1070000.0,3 Story,4.0,0,1612,38.91900984,-77.03034395,1
2,6,3,2010.0,945000.0,2 Story,1.0,0,1150,38.91828197,-77.03033684,1
1,6,2,2008.0,660000.0,2 Story,1.0,0,1162,38.9182833,-77.03039795,1
1,6,2,2008.0,645000.0,2 Story,1.0,0,1162,38.91828545,-77.03045042,1
1,7,2,2008.0,563500.0,2 Story,1.0,0,1162,38.91828526,-77.03050335,1
2,6,2,2005.0,622000.0,2 Story,1.0,1,1162,38.91828524,-77.03055778,1
1,6,3,2009.0,649000.0,2 Story,1.0,1,1162,38.91828514,-77.03061405,1
1,6,3,2007.0,640000.0,2 Story,1.0,1,1162,38.9182817,-77.0306687,1
2,6,2,2005.0,693000.0,2 Story,1.0,1,1162,38.91828546,-77.03077571,1
1,6,2,2009.0,755000.0,2 Story,1.0,1,1125,38.91827707,-77.03082991,1
3,9,3,2008.0,1405000.0,2 Story,1.0,2,1056,38.91901489,-77.03135432,1
3,9,3,2010.0,1180000.0,2 Story,3.0,1,1140,38.91730882,-77.02988833,1
2,6,3,2008.0,1050000.0,2 Story,2.0,0,640,38.91798455,-77.02985667,1
3,7,3,2000.0,771000.0,2 Story,2.0,0,740,38.91793266,-77.02985181,1
4,12,4,2009.0,1600555.0,2 Story,3.0,2,1881,38.91175235,-77.03754567,1
3,9,4,2012.0,2157000.0,2 Story,2.0,3,1881,38.91174683,-77.03761393,1
2,6,2,2007.0,749000.0,2 Story,2.0,0,1254,38.91174846,-77.03731242,1
2,7,3,2013.0,375000.0,2 Story,1.0,1,1830,38.91243428,-77.03725351,1
2,8,2,2008.0,680000.0,2 Story,2.0,0,2033,38.91089407,-77.03797298,1
2,9,3,1996.0,1140000.0,2 Story,1.0,0,2033,38.91087689,-77.03790114,1
5,7,6,2005.0,1800000.0,2 Story,2.0,4,2033,38.91093147,-77.03763967,1
3,8,4,2011.0,1175000.0,3 Story,1.0,0,924,38.90927583,-77.03821251,1
3,10,4,1989.0,315000.0,3 Story,2.0,2,1623,38.91781833,-77.03479951,1
3,9,5,1997.0,1250000.0,3 Story,2.0,2,1623,38.91776942,-77.03478738,1
3,10,4,2011.0,1576000.0,3 Story,2.0,2,2155,38.91749835,-77.03480535,1
4,11,4,2000.0,975000.0,3 Story,3.0,0,1189,38.91724449,-77.03480799,1
4,8,5,2000.0,950000.0,3 Story,2.0,0,1199,38.91720054,-77.03479633,1
2,9,3,1987.0,233250.0,3 Story,1.0,2,1527,38.91576847,-77.03483921,1
3,11,4,2000.0,678300.0,3 Story,1.0,2,1400,38.91576431,-77.03489744,1
2,7,5,2017.0,940000.0,2 Story,1.0,0,939,38.90837744,-77.04902225,1
